"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 02 15:24:54 UTC 2025","Sun Mar 02 15:24:54 UTC 2025","13","tests.apps.post.views","test_auto_save","PostAutoSaveTests","","","test_auto_save_next_save_time","测试自动保存返回的下次保存时间信息"
"passed","Sun Mar 02 15:24:56 UTC 2025","Sun Mar 02 15:24:56 UTC 2025","0","tests.apps.user.models","test_user","TestUserModel","","","test_user_str","测试用户字符串表示"
"passed","Sun Mar 02 15:24:55 UTC 2025","Sun Mar 02 15:24:55 UTC 2025","13","tests.apps.post.views.comment","test_global_comment_api","TestGlobalCommentAPI","","","test_filter_by_post","测试按文章过滤评论"
"passed","Sun Mar 02 15:24:52 UTC 2025","Sun Mar 02 15:24:52 UTC 2025","40","tests.apps.core","test_storage","","","","test_upload_large_file","测试上传超大文件"
"passed","Sun Mar 02 15:24:57 UTC 2025","Sun Mar 02 15:24:57 UTC 2025","2","tests.apps.user.views","test_auth","TestAuthViews","","","test_logout_with_invalid_token","测试使用无效令牌登出"
"passed","Sun Mar 02 15:24:54 UTC 2025","Sun Mar 02 15:24:54 UTC 2025","2","tests.apps.post.views","test_tag","TestTagViews","","","test_create_tag_duplicate_name","测试创建重复名称的标签"
"passed","Sun Mar 02 15:24:53 UTC 2025","Sun Mar 02 15:24:53 UTC 2025","1","tests.apps.plugin","test_views","TestPluginViews","","","test_install_plugin_forbidden","测试普通用户无法安装插件"
"passed","Sun Mar 02 15:24:54 UTC 2025","Sun Mar 02 15:24:54 UTC 2025","8","tests.apps.post.views","test_category","TestCategoryViews","","","test_list_categories_unauthenticated","测试未认证用户获取分类列表"
"passed","Sun Mar 02 15:24:56 UTC 2025","Sun Mar 02 15:24:56 UTC 2025","9","tests.apps.user.views","test_auth","TestAuthViews","","","test_login_success","测试登录成功的情况"
"passed","Sun Mar 02 15:24:53 UTC 2025","Sun Mar 02 15:24:53 UTC 2025","2","tests.apps.plugin","test_views","TestPluginViews","","","test_update_plugin_settings_invalid","测试更新无效的插件配置时的错误处理"
"passed","Sun Mar 02 15:24:54 UTC 2025","Sun Mar 02 15:24:54 UTC 2025","8","tests.apps.post.views","test_category","TestCategoryViews","","","test_list_categories_authenticated","测试已认证用户获取分类列表"
"passed","Sun Mar 02 15:24:54 UTC 2025","Sun Mar 02 15:24:54 UTC 2025","4","tests.apps.post.views","test_tag","TestTagViews","","","test_update_tag_duplicate_name","测试更新标签为重复名称"
"passed","Sun Mar 02 15:24:57 UTC 2025","Sun Mar 02 15:24:57 UTC 2025","14","tests.apps.user.views","test_user","TestUserViews","","","test_register_success","测试成功注册"
"passed","Sun Mar 02 15:24:52 UTC 2025","Sun Mar 02 15:24:52 UTC 2025","40","tests.apps.plugin","test_views","TestPluginViews","","","test_list_plugins","测试管理员获取插件列表的功能"
"passed","Sun Mar 02 15:24:55 UTC 2025","Sun Mar 02 15:24:55 UTC 2025","6","tests.apps.post.views.comment","test_comment_api","TestCommentAPI","","","test_update_other_user_comment","测试更新他人的评论"
"passed","Sun Mar 02 15:24:56 UTC 2025","Sun Mar 02 15:24:56 UTC 2025","7","tests.apps.post.views.post","test_post_trash","TestPostTrash","","","test_restore_post","测试从回收站恢复文章"
"passed","Sun Mar 02 15:24:54 UTC 2025","Sun Mar 02 15:24:54 UTC 2025","10","tests.apps.post.views","test_category","TestCategoryViews","","","test_update_category","测试更新分类"
"passed","Sun Mar 02 15:24:56 UTC 2025","Sun Mar 02 15:24:56 UTC 2025","34","tests.apps.post.views.post","test_post_list","TestPostListView","","","test_order_posts","测试文章列表的排序功能"
"passed","Sun Mar 02 15:24:54 UTC 2025","Sun Mar 02 15:24:54 UTC 2025","7","tests.apps.post.views","test_tag","TestTagViews","","","test_get_tag_detail","测试获取标签详情"
"passed","Sun Mar 02 15:24:55 UTC 2025","Sun Mar 02 15:24:55 UTC 2025","8","tests.apps.post.views.comment","test_global_comment_api","TestGlobalCommentAPI","","","test_comment_urls","测试评论相关的URL路由配置"
"passed","Sun Mar 02 15:24:54 UTC 2025","Sun Mar 02 15:24:54 UTC 2025","7","tests.apps.post.views","test_auto_save","PostAutoSaveTests","","","test_auto_save_wrong_user","测试用户无法自动保存其他用户的文章"
"passed","Sun Mar 02 15:24:57 UTC 2025","Sun Mar 02 15:24:57 UTC 2025","6","tests.apps.user.views","test_auth","TestAuthViews","","","test_login_with_invalid_timezone","测试无效时区的登录"
"passed","Sun Mar 02 15:24:53 UTC 2025","Sun Mar 02 15:24:53 UTC 2025","3","tests.apps.plugin","test_views","TestPluginViews","","","test_install_plugin_invalid","测试安装无效插件时的错误处理"
